param_max_depth,param_max_features,param_n_estimators,params,mean_test_r2,rank_test_r2
5,5,10,"{'max_depth': 5, 'max_features': 5, 'n_estimators': 10}",0.9859885156127419,65
6,3,20,"{'max_depth': 6, 'max_features': 3, 'n_estimators': 20}",0.9830669635974294,66
6,3,30,"{'max_depth': 6, 'max_features': 3, 'n_estimators': 30}",0.9827389741082369,67
6,3,40,"{'max_depth': 6, 'max_features': 3, 'n_estimators': 40}",0.982497012576306,68
5,4,40,"{'max_depth': 5, 'max_features': 4, 'n_estimators': 40}",0.9816142405410593,69
6,3,50,"{'max_depth': 6, 'max_features': 3, 'n_estimators': 50}",0.9815806831854962,70
6,3,10,"{'max_depth': 6, 'max_features': 3, 'n_estimators': 10}",0.9811824755230069,71
5,4,50,"{'max_depth': 5, 'max_features': 4, 'n_estimators': 50}",0.9809879999503253,72
5,4,30,"{'max_depth': 5, 'max_features': 4, 'n_estimators': 30}",0.9804340904855134,73
5,4,20,"{'max_depth': 5, 'max_features': 4, 'n_estimators': 20}",0.9802056989976752,74
5,4,10,"{'max_depth': 5, 'max_features': 4, 'n_estimators': 10}",0.9769146707641191,75
4,6,50,"{'max_depth': 4, 'max_features': 6, 'n_estimators': 50}",0.9702146760843504,76
4,6,20,"{'max_depth': 4, 'max_features': 6, 'n_estimators': 20}",0.9701775512586204,77
4,6,30,"{'max_depth': 4, 'max_features': 6, 'n_estimators': 30}",0.9699264049326668,78
4,6,40,"{'max_depth': 4, 'max_features': 6, 'n_estimators': 40}",0.9698355210038997,79
4,6,10,"{'max_depth': 4, 'max_features': 6, 'n_estimators': 10}",0.969621295805559,80
5,3,30,"{'max_depth': 5, 'max_features': 3, 'n_estimators': 30}",0.9690859567702208,81
4,5,20,"{'max_depth': 4, 'max_features': 5, 'n_estimators': 20}",0.9688828204675504,82
4,5,40,"{'max_depth': 4, 'max_features': 5, 'n_estimators': 40}",0.9688375469670218,83
4,5,30,"{'max_depth': 4, 'max_features': 5, 'n_estimators': 30}",0.9687599632754678,84
5,3,50,"{'max_depth': 5, 'max_features': 3, 'n_estimators': 50}",0.9685064485272182,85
4,5,50,"{'max_depth': 4, 'max_features': 5, 'n_estimators': 50}",0.9681168247754609,86
5,3,20,"{'max_depth': 5, 'max_features': 3, 'n_estimators': 20}",0.9679934952858835,87
5,3,40,"{'max_depth': 5, 'max_features': 3, 'n_estimators': 40}",0.9662893643963738,88
4,5,10,"{'max_depth': 4, 'max_features': 5, 'n_estimators': 10}",0.965424106966465,89
5,3,10,"{'max_depth': 5, 'max_features': 3, 'n_estimators': 10}",0.963685327356526,90
4,4,30,"{'max_depth': 4, 'max_features': 4, 'n_estimators': 30}",0.9599346274702588,91
4,4,50,"{'max_depth': 4, 'max_features': 4, 'n_estimators': 50}",0.9596902817954822,92
4,4,20,"{'max_depth': 4, 'max_features': 4, 'n_estimators': 20}",0.9571038524912592,93
4,4,40,"{'max_depth': 4, 'max_features': 4, 'n_estimators': 40}",0.955870532226944,94
4,4,10,"{'max_depth': 4, 'max_features': 4, 'n_estimators': 10}",0.9547969660864094,95
4,3,30,"{'max_depth': 4, 'max_features': 3, 'n_estimators': 30}",0.9450422892158364,96
4,3,40,"{'max_depth': 4, 'max_features': 3, 'n_estimators': 40}",0.9448558886295976,97
4,3,50,"{'max_depth': 4, 'max_features': 3, 'n_estimators': 50}",0.9432150969725912,98
4,3,20,"{'max_depth': 4, 'max_features': 3, 'n_estimators': 20}",0.9404978488321427,99
4,3,10,"{'max_depth': 4, 'max_features': 3, 'n_estimators': 10}",0.9370181308410774,100
3,5,20,"{'max_depth': 3, 'max_features': 5, 'n_estimators': 20}",0.9224750139108984,101
3,5,10,"{'max_depth': 3, 'max_features': 5, 'n_estimators': 10}",0.9224513625820074,102
3,5,40,"{'max_depth': 3, 'max_features': 5, 'n_estimators': 40}",0.9221608732332172,103
3,5,30,"{'max_depth': 3, 'max_features': 5, 'n_estimators': 30}",0.9218140035185186,104
3,5,50,"{'max_depth': 3, 'max_features': 5, 'n_estimators': 50}",0.9210323721407757,105
3,6,20,"{'max_depth': 3, 'max_features': 6, 'n_estimators': 20}",0.9179195937752219,106
3,6,50,"{'max_depth': 3, 'max_features': 6, 'n_estimators': 50}",0.9168038144838683,107
3,6,30,"{'max_depth': 3, 'max_features': 6, 'n_estimators': 30}",0.9165504861199146,108
3,6,40,"{'max_depth': 3, 'max_features': 6, 'n_estimators': 40}",0.9165191327910319,109
3,6,10,"{'max_depth': 3, 'max_features': 6, 'n_estimators': 10}",0.9159530564332968,110
3,4,50,"{'max_depth': 3, 'max_features': 4, 'n_estimators': 50}",0.9140917329489039,111
3,4,40,"{'max_depth': 3, 'max_features': 4, 'n_estimators': 40}",0.9129043589685548,112
3,4,30,"{'max_depth': 3, 'max_features': 4, 'n_estimators': 30}",0.9124233599435299,113
3,4,20,"{'max_depth': 3, 'max_features': 4, 'n_estimators': 20}",0.9122043634284488,114
3,4,10,"{'max_depth': 3, 'max_features': 4, 'n_estimators': 10}",0.90683137498238,115
3,3,30,"{'max_depth': 3, 'max_features': 3, 'n_estimators': 30}",0.8997855849225704,116
3,3,40,"{'max_depth': 3, 'max_features': 3, 'n_estimators': 40}",0.8974933913192735,117
3,3,50,"{'max_depth': 3, 'max_features': 3, 'n_estimators': 50}",0.8962244833885492,118
3,3,10,"{'max_depth': 3, 'max_features': 3, 'n_estimators': 10}",0.8893389321366147,119
3,3,20,"{'max_depth': 3, 'max_features': 3, 'n_estimators': 20}",0.8868939333094215,120
